,source_text,true_list,false_list,status
10,".@AP I demand you retract the lie that people in #Ferguson were shouting ""kill the police"", local reporting has refuted your ugly racism","[""true information: Firstly, it's important to consider the psychological impact of a news story. If it's false, it can fuel fear and anger, which can be harmful to the community. Secondly, the content information is crucial - if local reporting has refuted the claim, it's reasonable to assume that the original story was incorrect. Finally, the credibility of the source is important - if the AP has a history of inaccuracies, it's reasonable to be skeptical of their reporting.""]","['misinformation: The news that people in Ferguson were shouting ""kill the police"" has been refuted by local reporting. This misinformation can cause unnecessary fear and anger towards the community. The credibility of the source, the Associated Press, is at stake if they continue to spread false information. It\'s important to fact-check and verify information before spreading it to the public.']",unverified
11,267 days since Sick Hillary had a press conference.,"[""true information: Psychologically, it's concerning that a presidential candidate hasn't had a press conference in over 8 months. As a voter, I want to hear from her and know where she stands on important issues. Additionally, the content of the news is backed up by reputable sources and can be easily fact-checked. Therefore, it's logical to believe that the news is true information.""]","[""misinformation: Response 1: While it may seem concerning that Sick Hillary hasn't had a press conference in 267 days, it's important to consider that this information may be taken out of context or exaggerated for sensationalism. Before jumping to conclusions, it's crucial to fact-check and verify the credibility of the source.\n\nResponse 2: It's understandable to feel worried about Sick Hillary's lack of press conferences, but it's important to remember that there could be a multitude of reasons for this. Without proper context and information, it's difficult to make accurate assumptions.\n\nResponse 3: It's natural to feel uneasy when presented with alarming news, but it's vital to remain level-headed and approach the situation with skepticism. Misinformation can spread quickly, so it's crucial to verify sources and fact-check before forming opinions.\n\nResponse 4: While the news of Sick Hillary's lack of press conferences may be concerning, it's crucial to consider the credibility of the source and the potential for bias or misinformation. It's important to approach all news with a critical eye and make informed decisions based on verified facts.""]",false
12,267 days since Sick Hillary had a press conference.,"[""true information: Psychologically, it's concerning that a presidential candidate hasn't had a press conference in over 8 months. As a voter, I want to hear from her and know where she stands on important issues. Additionally, the content of the news is backed up by reputable sources and can be easily fact-checked. Therefore, it's logical to believe that the news is true information.""]","[""misinformation: Response 1: While it may seem concerning that Sick Hillary hasn't had a press conference in 267 days, it's important to consider that this information may be taken out of context or exaggerated for sensationalism. Before jumping to conclusions, it's crucial to fact-check and verify the credibility of the source.\n\nResponse 2: It's understandable to feel worried about Sick Hillary's lack of press conferences, but it's important to remember that there could be a multitude of reasons for this. Without proper context and information, it's difficult to make accurate assumptions.\n\nResponse 3: It's natural to feel uneasy when presented with alarming news, but it's vital to remain level-headed and approach the situation with skepticism. Misinformation can spread quickly, so it's crucial to verify sources and fact-check before forming opinions.\n\nResponse 4: While the news of Sick Hillary's lack of press conferences may be concerning, it's crucial to consider the credibility of the source and the potential for bias or misinformation. It's important to approach all news with a critical eye and make informed decisions based on verified facts.""]",false
13,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw,"['true information: It is a fact that Ebola is a highly contagious virus, and it is not uncommon for public figures to contract the disease. The source, Daily Times, is a reputable news outlet that follows journalistic standards. We should show empathy and support for Michael Essien during this difficult time, while also taking necessary precautions to prevent the spread of the disease.']","['misinformation: This news is creating fear and panic among people, which is not justified. We need to verify the news from credible sources before spreading it. The source of this news is not reliable, and we need to be cautious before sharing it further. There is no official statement from AC Milan or Michael Essien regarding this news, which indicates that it might not be true.']",false
14,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw,"['true information: It is a fact that Ebola is a highly contagious virus, and it is not uncommon for public figures to contract the disease. The source, Daily Times, is a reputable news outlet that follows journalistic standards. We should show empathy and support for Michael Essien during this difficult time, while also taking necessary precautions to prevent the spread of the disease.']","['misinformation: This news is creating fear and panic among people, which is not justified. We need to verify the news from credible sources before spreading it. The source of this news is not reliable, and we need to be cautious before sharing it further. There is no official statement from AC Milan or Michael Essien regarding this news, which indicates that it might not be true.']",false
15,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw,"[""true information: The Daily Times is a reputable source of news and has a track record of providing accurate information. They wouldn't publish a story without verifying the facts. Moreover, the Ebola outbreak is a serious global health concern, and there have been cases of it affecting prominent people in the past. Given all these factors, it's highly likely that the news is true, and we should be concerned for Michael Essien's wellbeing.""]","[""misinformation: This news seems to be alarming, but let's think logically. Michael Essien is a public figure, and if he really had Ebola, we would have heard more about it from credible sources. Also, the source of the news, Daily Times, is not reliable and lacks credibility. We should not let misinformation and fake news create panic and fear in our minds.""]",false
16,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw,"[""true information: The Daily Times is a reputable source of news and has a track record of providing accurate information. They wouldn't publish a story without verifying the facts. Moreover, the Ebola outbreak is a serious global health concern, and there have been cases of it affecting prominent people in the past. Given all these factors, it's highly likely that the news is true, and we should be concerned for Michael Essien's wellbeing.""]","[""misinformation: This news seems to be alarming, but let's think logically. Michael Essien is a public figure, and if he really had Ebola, we would have heard more about it from credible sources. Also, the source of the news, Daily Times, is not reliable and lacks credibility. We should not let misinformation and fake news create panic and fear in our minds.""]",false
17,"AFP reports there are 2 dead, and 5 hostages being held in the Kosher store in Eastern Paris; separate incident to charlie hebdo shooters.","['true information: The AFP is a reputable news agency with a history of delivering accurate information. They have reporters on the ground in Paris, who have likely verified the information before publishing. Additionally, the information has been reported by multiple news outlets, adding to its credibility. It is important to stay informed about current events, and trusting reliable sources like AFP is crucial for accurate information.']","['misinformation: ""I read a report from a credible source that stated the number of hostages was actually 15 and that there were 4 fatalities. The source also provided images and videos as evidence. This contradicts the initial report and raises questions about the accuracy of the information being released. We should be cautious about trusting news until we have verified sources.""']",unverified
18,"Anyone who knows Marina Joyce personally knows she has a serious drug addiction. she needs help, but in the form of rehab #savemarinajoyce","[""true information: Firstly, it's important to note that the information about Marina Joyce's drug addiction is coming from people who know her personally and have seen evidence of it. This makes it more credible than just hearsay or speculation. Secondly, drug addiction is a serious issue that affects many people, and it's not something that should be taken lightly. Thirdly, by bringing attention to Marina's situation and advocating for her to get help, we can help prevent further harm or even save her life. Lastly, it's important to approach this with empathy and understanding, as addiction is a complex issue that requires support and compassion.""]","[""misinformation: Response 1: Do we have any credible sources that confirm that Marina Joyce has a drug addiction? It's important to verify the credibility of the information before spreading it. \n\nResponse 2: Even if Marina Joyce does have a drug addiction, how can we be sure that rehab is the best solution for her? Each individual's situation is unique and requires a tailored approach. \n\nResponse 3: It's important to consider the psychological impact of spreading false information about someone's health. This can lead to unnecessary stress and anxiety for both the individual and their loved ones. \n\nResponse 4: We should also question the motives behind spreading this news. Is it to genuinely help Marina or is it to gain attention and social media followers? It's important to consider the credibility of the source before believing and spreading information.""]",false
19,"Anyone who knows Marina Joyce personally knows she has a serious drug addiction. she needs help, but in the form of rehab #savemarinajoyce","[""true information: Firstly, it's important to note that the information about Marina Joyce's drug addiction is coming from people who know her personally and have seen evidence of it. This makes it more credible than just hearsay or speculation. Secondly, drug addiction is a serious issue that affects many people, and it's not something that should be taken lightly. Thirdly, by bringing attention to Marina's situation and advocating for her to get help, we can help prevent further harm or even save her life. Lastly, it's important to approach this with empathy and understanding, as addiction is a complex issue that requires support and compassion.""]","[""misinformation: Response 1: Do we have any credible sources that confirm that Marina Joyce has a drug addiction? It's important to verify the credibility of the information before spreading it. \n\nResponse 2: Even if Marina Joyce does have a drug addiction, how can we be sure that rehab is the best solution for her? Each individual's situation is unique and requires a tailored approach. \n\nResponse 3: It's important to consider the psychological impact of spreading false information about someone's health. This can lead to unnecessary stress and anxiety for both the individual and their loved ones. \n\nResponse 4: We should also question the motives behind spreading this news. Is it to genuinely help Marina or is it to gain attention and social media followers? It's important to consider the credibility of the source before believing and spreading information.""]",false
20,"Anyone who knows Marina Joyce personally knows she has a serious drug addiction. she needs help, but in the form of rehab #savemarinajoyce","[""true information: Psychologically, addiction is a serious issue that affects many people. It's not something to take lightly or ignore. The content information provided about Marina Joyce's drug addiction comes from a credible source, someone who knows her personally. It's important to listen to those who have first-hand experience and knowledge. We should all come together to help her get the assistance she needs and #savemarinajoyce.""]","['misinformation: ""Can you provide any evidence to support this claim? Accusing someone of having a drug addiction without any proof is a serious allegation. Plus, it\'s not fair to speculate on someone\'s mental health without their consent. Let\'s focus on the facts and not spread misinformation.""']",false
21,"Anyone who knows Marina Joyce personally knows she has a serious drug addiction. she needs help, but in the form of rehab #savemarinajoyce","[""true information: Psychologically, addiction is a serious issue that affects many people. It's not something to take lightly or ignore. The content information provided about Marina Joyce's drug addiction comes from a credible source, someone who knows her personally. It's important to listen to those who have first-hand experience and knowledge. We should all come together to help her get the assistance she needs and #savemarinajoyce.""]","['misinformation: ""Can you provide any evidence to support this claim? Accusing someone of having a drug addiction without any proof is a serious allegation. Plus, it\'s not fair to speculate on someone\'s mental health without their consent. Let\'s focus on the facts and not spread misinformation.""']",false
22,Approximately 50 hostages may be held captive at #Lindt café – local reports http://t.co/1ZlzKDjvSf #sydneysiege http://t.co/NvLr5kyQG8,"[""true information: It's highly likely that the news of hostages being held at #Lindt café in Sydney is true. Local reports suggest that around 50 people are being held captive. We should trust the credibility of the source, who has a history of providing reliable news updates. It's a scary situation, and we need to stay informed and hope for a peaceful resolution.""]","['misinformation: I understand that it can be concerning to hear news about hostages being held captive. However, it\'s important to consider the source and the accuracy of the information. Have you checked if it\'s a credible news outlet? Also, the tweet only mentions ""local reports"" without providing any specific details or sources. It\'s possible that this information could be exaggerated or even false.']",false
23,At least 12 dead in the Paris shooting. Updated story and background info: http://t.co/QlPpQ2ss8j #CharlieHebdo http://t.co/DwMlafsD6K,"[""true information: I understand that it can be difficult to trust news sources, but it's important to remember that this information is being reported by multiple reputable news outlets. Additionally, the fact that there are photos and videos from the scene corroborates the story. It's tragic and heartbreaking, but we need to face the reality of the situation and come together to support those affected by this tragedy.""]","[""misinformation: I understand how shocking and upsetting this news is, but it's important to evaluate the credibility of the source reporting it. Have you heard of this news outlet before? Can you verify their sources? Additionally, sometimes in the chaos of breaking news, misinformation can be spread. It's important to wait for more information and corroboration before accepting this as fact.""]",true
24,"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs","[""true information: I'm seeing reports from several credible sources, like BBC and CNN, confirming that at least 12 people were killed in an attack on a magazine in Paris today. The police and government officials have also confirmed the incident. It's devastating to hear about such a tragedy and it's important to stay informed about what's happening in the world around us.""]","[""misinformation: It's important to be cautious with the news we consume. The source of this tweet doesn't seem to be very credible, do you know where it came from? Even if it's a reputable source, we should wait for more information before jumping to conclusions. It's easy to get caught up in the emotion of a tragic event like this, but we need to make sure we're not spreading misinformation in the process.""]",true
25,BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn #cdnpoli http://t.co/38qOgXcuet,"[""true information: I saw the tweet myself and it had a link to a news article from CBC News. They're a credible news source and wouldn't spread false information. Plus, there were pictures and videos from people who were on the scene that showed the police with their weapons drawn. It's important to take news like this seriously, for our own safety and the safety of others.""]","['misinformation: 1. ""I think we should be skeptical about this news. Has it been reported by any other sources or just this one?""\n2. ""The tweet seems to be lacking in specific details. How many shooters are there? Were any people injured?""\n3. ""Considering how quickly news spreads on social media, it\'s possible that someone jumped to conclusions and started spreading rumors.""\n4. ""Let\'s wait for official statements from authorities before believing anything. It\'s better to be cautious than to spread misinformation.""']",true
26,BREAKING ALERT: Preliminary reports indicate perpetrators appear to be members of #ISIS. #SydneySiege,['true information: The response could not be generated due to content filtering.'],['misinformation: The response could not be generated due to content filtering.'],false
27,"BREAKING NEWS: According to documents released to the press, #MikeBrown was connected to an earlier robbery #Ferguson http://t.co/LuCR9711S0","[""true information: 1. The news about Mike Brown's connection to an earlier robbery seems to be based on official documents that were released to the press, which suggests that there is some substance to the claim. \n2. Moreover, given the gravity of the situation in Ferguson, it is unlikely that the news would be released without adequate verification and due diligence. \n3. Additionally, news outlets reporting this story are usually very careful about their sources and the credibility of the information they present. \n4. Therefore, it is reasonable to believe that the news is true, and it is important for us to understand the full context of what happened in Ferguson.""]","['misinformation: Response 1: The source of this news has a history of publishing false information and has been criticized for spreading propaganda. We should be cautious in accepting anything they say as true.\nResponse 2: This news seems to be aimed at discrediting Mike Brown and justifying his killing. We need to question the motives behind this release of information.\nResponse 3: Even if Mike Brown did commit a robbery, that does not justify his killing by a police officer. We need to focus on the larger issue of police brutality and systemic racism.\nResponse 4: The timing of this news release is suspicious, as it comes after protests and unrest in Ferguson. It seems like an attempt to distract from the larger issues and divide the community.']",unverified
28,"BREAKING NEWS: According to documents released to the press, #MikeBrown was connected to an earlier robbery #Ferguson http://t.co/LuCR9711S0","[""true information: 1. The news about Mike Brown's connection to an earlier robbery seems to be based on official documents that were released to the press, which suggests that there is some substance to the claim. \n2. Moreover, given the gravity of the situation in Ferguson, it is unlikely that the news would be released without adequate verification and due diligence. \n3. Additionally, news outlets reporting this story are usually very careful about their sources and the credibility of the information they present. \n4. Therefore, it is reasonable to believe that the news is true, and it is important for us to understand the full context of what happened in Ferguson.""]","['misinformation: Response 1: The source of this news has a history of publishing false information and has been criticized for spreading propaganda. We should be cautious in accepting anything they say as true.\nResponse 2: This news seems to be aimed at discrediting Mike Brown and justifying his killing. We need to question the motives behind this release of information.\nResponse 3: Even if Mike Brown did commit a robbery, that does not justify his killing by a police officer. We need to focus on the larger issue of police brutality and systemic racism.\nResponse 4: The timing of this news release is suspicious, as it comes after protests and unrest in Ferguson. It seems like an attempt to distract from the larger issues and divide the community.']",unverified
29,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY","[""true information: This news has been reported by the official Twitter account of the Paris prosecutor's office, which is a credible source of information. Moreover, the content of the news is very specific and detailed about the number of casualties. It is very unlikely that such a large organization would make a mistake in reporting something so serious. It is important to acknowledge the emotional impact of this news, but the credibility of the source and the specificity of the information make it highly likely that this news is true.""]","[""misinformation: Do you think the source of the news is credible? The Twitter account that posted it could be a fake account or a hacked one. Also, have you checked if any other credible news organization has reported the same? If not, it's better to wait until the information is verified before believing it.""]",true
30,BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire https://t.co/druOTyoqZK,"[""true information: The news source, Conservative Daily Post, has a track record of publishing verified and reliable stories. Moreover, the report includes specific details such as the suspect's name and nationality, which suggests that it is based on substantial evidence. Lastly, the idea that someone would start a wildfire deliberately is distressing and alarming, and it's essential to hold those responsible accountable.""]","['misinformation: This news is not credible because it lacks any concrete evidence or sources to support the claim. The use of ""illegal Muslim"" also seems to be a deliberate attempt to create fear and stir up prejudice against a specific group of people. Moreover, the language used in the article is sensationalist and designed to grab attention rather than provide accurate information. Overall, this news seems to be a product of misinformation and propaganda.']",false
31,BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire https://t.co/druOTyoqZK,"[""true information: The news source, Conservative Daily Post, has a track record of publishing verified and reliable stories. Moreover, the report includes specific details such as the suspect's name and nationality, which suggests that it is based on substantial evidence. Lastly, the idea that someone would start a wildfire deliberately is distressing and alarming, and it's essential to hold those responsible accountable.""]","['misinformation: This news is not credible because it lacks any concrete evidence or sources to support the claim. The use of ""illegal Muslim"" also seems to be a deliberate attempt to create fear and stir up prejudice against a specific group of people. Moreover, the language used in the article is sensationalist and designed to grab attention rather than provide accurate information. Overall, this news seems to be a product of misinformation and propaganda.']",false
32,"BREAKING: Michael Zehaf-Bebeau had been designated ""high-risk traveller"" by CDN govt, which confiscated his passport http://t.co/dPeMQ78jzm","['true information: It\'s understandable to feel skeptical about news these days, but this information is backed up by the Canadian government and a reputable news source. The fact that the suspect was a designated ""high-risk traveller"" and had his passport confiscated suggests that the government had reason to believe he posed a threat. It\'s important to trust credible sources and consider the facts before jumping to conclusions.']","['misinformation: It\'s important to consider the context of the news and the credibility of the source. In this case, the tweet is from an unverified Twitter account with no clear affiliation to a reputable news source. Additionally, the information provided may be incomplete or inaccurate, as it doesn\'t provide any evidence or sources to support the claim that Michael Zehaf-Bebeau was a ""high-risk traveller"" or that his passport was confiscated. Without more information or confirmation from a reliable source, it\'s premature to jump to conclusions or accept this as accurate news.']",unverified
33,BREAKING: Police order all shops closed in famed Jewish neighborhood in central Paris far from attacks.,"['true information: 1. The source of the news is reliable and has a history of providing accurate information. \n2. The information is specific and detailed, including the location and reason for the police order. \n3. It is consistent with the current situation in Paris and the heightened security measures being taken. \n4. It is important to stay informed and aware of any potential threats, especially in areas with a large Jewish population.']","[""misinformation: 1. The news headline seems alarming, but it's important to consider the source. \n2. Have you heard of this news outlet before? Do you trust their reporting? \n3. Also, the headline doesn't provide any context or explanation for the police order. \n4. It's possible that the neighborhood was closed for a completely unrelated reason, and the news outlet is just trying to create fear and panic.""]",unverified
34,BREAKING: Police order all shops closed in famed Jewish neighborhood in central Paris far from attacks.,"['true information: 1. The source of the news is reliable and has a history of providing accurate information. \n2. The information is specific and detailed, including the location and reason for the police order. \n3. It is consistent with the current situation in Paris and the heightened security measures being taken. \n4. It is important to stay informed and aware of any potential threats, especially in areas with a large Jewish population.']","[""misinformation: 1. The news headline seems alarming, but it's important to consider the source. \n2. Have you heard of this news outlet before? Do you trust their reporting? \n3. Also, the headline doesn't provide any context or explanation for the police order. \n4. It's possible that the neighborhood was closed for a completely unrelated reason, and the news outlet is just trying to create fear and panic.""]",unverified
35,BREAKING: Three hostages appear to have escaped the Sydney cafe where a siege remains ongoing. http://t.co/akfqcnbofX #sydneyseige,"[""true information: I just read on a reliable news source that three hostages have escaped from the Sydney cafe where the ongoing siege is happening. This is a major development and could potentially mean that more people will be able to escape. The source has been credible in the past and has a reputation for accurate reporting. It's important to stay informed and up-to-date on this situation.""]","[""misinformation: This news seems to be incomplete, as it only mentions that three hostages have escaped but nothing about the others or the hostage-taker. It's important to wait for more information before jumping to any conclusions. Additionally, we need to consider the credibility of the source and whether they have a history of accurate reporting. Let's hold off on sharing this news until we have a clearer picture of what's happening.""]",true
36,"Black Islamic flag being held up in window of #lindt chocolate store in Martin Place, Sydney - hostages inside. http://t.co/fAV7PEuY6P","[""true information: The information comes from multiple sources, including reputable news outlets and eyewitnesses on social media. It also fits with previous terrorist attacks where hostages were taken. Additionally, the police have confirmed that they are responding to an ongoing incident at the location. It's understandable to feel anxious or worried about this, but it's important to rely on credible sources of information.""]","[""misinformation: 1. The source of the news hasn't been verified. We don't know if it's credible or not. \n2. People can manipulate images to create false stories. It's possible that this image is doctored. \n3. The news is designed to create fear and anxiety, which is a common tactic used to gain attention. \n4. It's important to wait for official reports before drawing conclusions. Jumping to conclusions can cause more harm than good.""]",true
37,Breaking: Gunman at Paris store threatens to kill hostages if #CharlieHebdo suspects are harmed. http://t.co/YPIlwckuuw,"[""true information: This news is backed by a credible source, ABC News, and has been circulating on various social media platforms. Additionally, the situation is in line with the recent attacks in Paris and the ongoing search for the suspects. The information is also relevant and timely, and the threat of harm to hostages is a serious matter that should not be taken lightly. It's important to stay informed and aware of potential threats in our world.""]","[""misinformation: The news might be misinformation because it's not from a credible source. We don't know who tweeted it, and there's no way to verify if it's true or not. Also, the tweet doesn't provide any proof of the situation. It's possible that someone made it up to cause panic and chaos.""]",unverified
38,"Canadian soldier who was shot at #Ottawa's War Memorial is a reservist serving with the Argyll and Sutherland Highlanders in #Hamilton, Ont.","[""true information: This news has been reported by multiple reputable news sources, which adds to its credibility. Additionally, it includes specific details such as the soldier's unit and location, indicating a level of research and verification. The fact that it was a Canadian soldier who was shot also makes it emotionally impactful and relevant to those in Canada. It is important to trust reliable sources of information and take this news seriously.""]","[""misinformation: I understand how concerning this news can be, but we need to question the credibility of the source. Do they have a history of reporting accurate information? Furthermore, there are conflicting reports about the soldier's identity and location. We need to be cautious about accepting this news as truth without further verification.""]",true
39,Coup in #Russia? Good article by @Forbes. http://t.co/aaNCpb0blW #RamzanKadyrov #Putin #putindead http://t.co/OfivdTlTbO,"['true information: This news about a coup in Russia seems credible based on the fact that it comes from Forbes, a highly respected and reputable source. Additionally, the article provides specific details about the involvement of Ramzan Kadyrov and the potential death of Putin, which adds to its believability. Furthermore, given the current political climate in Russia, it is not unreasonable to consider the possibility of a coup.']","[""misinformation: I understand that the article shared by Forbes might have caught your attention, but let's think logically. Can a coup in Russia really happen without any significant news coverage from other credible sources? Also, the hashtags used in the tweet are sensational and misleading. It's important to not believe everything we see on social media and instead cross-check the information with reliable sources before forming an opinion.""]",unverified
40,"Currently the #FoxNews website has zero, repeat, ZERO coverage of the #Ferguson protests, probably due to lack of cowboy hats.","[""true information: 1. It's important to stay informed about what's happening in our country, especially in regards to protests and civil unrest. \n\n2. When a major news network fails to cover such events, it raises questions about their credibility and motives. \n\n3. In this case, it appears that Fox News is prioritizing their brand image over the responsibility of reporting the news. \n\n4. As consumers of media, we should hold news outlets accountable for their coverage choices and seek out unbiased sources for accurate information.""]","[""misinformation: 1. It's concerning that Fox News, a major news outlet, isn't reporting on a major event happening in our country. \n2. It's important to question the credibility of a news source that is selective in its coverage, as it may be misleading its audience. \n3. The lack of coverage on the Ferguson protests is a red flag and suggests that there may be a bias or agenda at play. \n4. As responsible consumers of news, we should seek out diverse sources and hold them accountable for accurate and fair reporting.""]",unverified
